"mes" "casos" "meses" "ano"
1 154 "Jan" 2000
2 132 "Feb" 2000
3 267 "Mar" 2000
4 486 "Apr" 2000
5 765 "May" 2000
6 229 "Jun" 2000
7 90 "Jul" 2000
8 44 "Aug" 2000
9 26 "Sep" 2000
10 31 "Oct" 2000
11 25 "Nov" 2000
12 39 "Dec" 2000
13 690 "Jan" 2001
14 1257 "Feb" 2001
15 2141 "Mar" 2001
16 6181 "Apr" 2001
17 8598 "May" 2001
18 3315 "Jun" 2001
19 1116 "Jul" 2001
20 577 "Aug" 2001
21 285 "Sep" 2001
22 509 "Oct" 2001
23 529 "Nov" 2001
24 2475 "Dec" 2001
25 35674 "Jan" 2002
26 47272 "Feb" 2002
27 48487 "Mar" 2002
28 10698 "Apr" 2002
29 1733 "May" 2002
30 185 "Jun" 2002
31 91 "Jul" 2002
32 92 "Aug" 2002
33 51 "Sep" 2002
34 204 "Oct" 2002
35 667 "Nov" 2002
36 625 "Dec" 2002
37 351 "Jan" 2003
38 304 "Feb" 2003
39 204 "Mar" 2003
40 89 "Apr" 2003
41 60 "May" 2003
42 22 "Jun" 2003
43 23 "Jul" 2003
44 17 "Aug" 2003
45 22 "Sep" 2003
46 61 "Oct" 2003
47 195 "Nov" 2003
48 168 "Dec" 2003
49 124 "Jan" 2004
50 61 "Feb" 2004
51 56 "Mar" 2004
52 19 "Apr" 2004
53 16 "May" 2004
54 13 "Jun" 2004
55 16 "Jul" 2004
56 15 "Aug" 2004
57 21 "Sep" 2004
58 66 "Oct" 2004
59 104 "Nov" 2004
60 43 "Dec" 2004
61 67 "Jan" 2005
62 51 "Feb" 2005
63 36 "Mar" 2005
64 38 "Apr" 2005
65 36 "May" 2005
66 29 "Jun" 2005
67 34 "Jul" 2005
68 62 "Aug" 2005
69 43 "Sep" 2005
70 77 "Oct" 2005
71 134 "Nov" 2005
72 378 "Dec" 2005
73 1960 "Jan" 2006
74 3001 "Feb" 2006
75 3726 "Mar" 2006
76 2590 "Apr" 2006
77 1376 "May" 2006
78 398 "Jun" 2006
79 163 "Jul" 2006
80 160 "Aug" 2006
81 86 "Sep" 2006
82 131 "Oct" 2006
83 148 "Nov" 2006
84 378 "Dec" 2006
85 1497 "Jan" 2007
86 2093 "Feb" 2007
87 3983 "Mar" 2007
88 4402 "Apr" 2007
89 4188 "May" 2007
90 1643 "Jun" 2007
91 941 "Jul" 2007
92 683 "Aug" 2007
93 401 "Sep" 2007
94 819 "Oct" 2007
95 1623 "Nov" 2007
96 3059 "Dec" 2007
97 11577 "Jan" 2008
98 15305 "Feb" 2008
99 39857 "Mar" 2008
100 40767 "Apr" 2008
101 9939 "May" 2008
102 1144 "Jun" 2008
103 444 "Jul" 2008
104 241 "Aug" 2008
105 159 "Sep" 2008
106 286 "Oct" 2008
107 460 "Nov" 2008
108 738 "Dec" 2008
109 931 "Jan" 2009
110 708 "Feb" 2009
111 381 "Mar" 2009
112 200 "Apr" 2009
113 121 "May" 2009
114 70 "Jun" 2009
115 58 "Jul" 2009
116 23 "Aug" 2009
117 15 "Sep" 2009
118 34 "Oct" 2009
119 52 "Nov" 2009
120 134 "Dec" 2009
121 203 "Jan" 2010
122 192 "Feb" 2010
123 222 "Mar" 2010
124 246 "Apr" 2010
125 362 "May" 2010
126 206 "Jun" 2010
127 282 "Jul" 2010
128 312 "Aug" 2010
129 151 "Sep" 2010
130 186 "Oct" 2010
131 328 "Nov" 2010
132 578 "Dec" 2010
133 1656 "Jan" 2011
134 6132 "Feb" 2011
135 15459 "Mar" 2011
136 25577 "Apr" 2011
137 15958 "May" 2011
138 4471 "Jun" 2011
139 1190 "Jul" 2011
140 587 "Aug" 2011
141 657 "Sep" 2011
142 1053 "Oct" 2011
143 1733 "Nov" 2011
144 3180 "Dec" 2011
145 5672 "Jan" 2012
146 11545 "Feb" 2012
147 26248 "Mar" 2012
148 37464 "Apr" 2012
149 29531 "May" 2012
150 11489 "Jun" 2012
151 3092 "Jul" 2012
152 1683 "Aug" 2012
153 770 "Sep" 2012
154 758 "Oct" 2012
155 749 "Nov" 2012
156 1411 "Dec" 2012
157 3930 "Jan" 2013
158 8851 "Feb" 2013
159 21062 "Mar" 2013
160 22110 "Apr" 2013
161 6745 "May" 2013
162 1768 "Jun" 2013
163 593 "Jul" 2013
164 245 "Aug" 2013
165 218 "Sep" 2013
166 213 "Oct" 2013
167 285 "Nov" 2013
168 258 "Dec" 2013
169 476 "Jan" 2014
170 304 "Feb" 2014
171 271 "Mar" 2014
172 248 "Apr" 2014
173 254 "May" 2014
174 177 "Jun" 2014
175 131 "Jul" 2014
176 157 "Aug" 2014
177 206 "Sep" 2014
178 188 "Oct" 2014
179 140 "Nov" 2014
180 97 "Dec" 2014
