mes	casos
1	154
2	132
3	267
4	486
5	765
6	229
7	90
8	44
9	26
10	31
11	25
12	39
13	690
14	1257
15	2141
16	6181
17	8598
18	3315
19	1116
20	577
21	285
22	509
23	529
24	2475
25	35674
26	47272
27	48487
28	10698
29	1733
30	185
31	91
32	92
33	51
34	204
35	667
36	625
37	351
38	304
39	204
40	89
41	60
42	22
43	23
44	17
45	22
46	61
47	195
48	168
49	124
50	61
51	56
52	19
53	16
54	13
55	16
56	15
57	21
58	66
59	104
60	43
61	67
62	51
63	36
64	38
65	36
66	29
67	34
68	62
69	43
70	77
71	134
72	378
73	1960
74	3001
75	3726
76	2590
77	1376
78	398
79	163
80	160
81	86
82	131
83	148
84	378
85	1497
86	2093
87	3983
88	4402
89	4188
90	1643
91	941
92	683
93	401
94	819
95	1623
96	3059
97	11577
98	15305
99	39857
100	40767
101	9939
102	1144
103	444
104	241
105	159
106	286
107	460
108	738
109	931
110	708
111	381
112	200
113	121
114	70
115	58
116	23
117	15
118	34
119	52
120	134
121	203
122	192
123	222
124	246
125	362
126	206
127	282
128	312
129	151
130	186
131	328
132	578
133	1656
134	6132
135	15459
136	25577
137	15958
138	4471
139	1190
140	587
141	657
142	1053
143	1733
144	3180
145	5672
146	11545
147	26248
148	37464
149	29531
150	11489
151	3092
152	1683
153	770
154	758
155	749
156	1411
157	3930
158	8851
159	21062
160	22110
161	6745
162	1768
163	593
164	245
165	218
166	213
167	285
168	258
169	476
170	304
171	271
172	248
173	254
174	177
175	131
176	157
177	206
178	188
179	140
180	97
